ID_subjsess,ID_subj,ID_sess,ID_sex,ID_agegroup,ID_bdate,ID_tdate,ID_race,ID_ethnicity,ID_weight1,ID_weight2,ID_height1,ID_height2,ID_rightleg1,ID_rightleg2,ID_leftleg1,ID_leftleg2,ID_locomotor,onset,offset,task_ordinal,task_task,computervision_ordinal,computervision_videopreset,usedata_ordinal,usedata_playdata,object1_ordinal,object1_obj,object1_action_state_ordinal,object1_action_state_obj,object1_action_state_action,object1_action_state_noise,object1_action_state_detach,object1_action_state_reattach,object1_action_state_takeout,object1_action_state_putin,object1_action_state_popup,object1_action_state_hidden,object1_action_state_open,object1_action_state_close,object2_ordinal,object2_obj,object2_action_state_ordinal,object2_action_state_obj,object2_action_state_action,object2_action_state_noise,object2_action_state_detach,object2_action_state_reattach,object2_action_state_takeout,object2_action_state_putin,object2_action_state_popup,object2_action_state_hidden,object2_action_state_open,object2_action_state_close
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1262760,1262761,2,r,2,c,2,c,2,rb,6,rb,th,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1262761,1270240,2,r,2,c,2,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1270240,1270241,2,r,2,c,2,c,3,r,7,r,p,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1270241,1270242,2,r,2,c,2,c,3,r,8,r,s,y,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1270242,1276734,2,r,2,c,2,c,3,r,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1276734,1276735,2,r,2,c,2,c,3,r,9,r,d,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1276735,1277992,2,r,2,c,2,c,3,r,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1277992,1277993,2,r,2,c,2,c,3,r,10,r,p,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1277993,1277994,2,r,2,c,2,c,3,r,11,r,s,y,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1277994,1283296,2,r,2,c,2,c,3,r,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1283296,1283297,2,r,2,c,2,c,3,r,12,r,d,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1283297,1309680,2,r,2,c,2,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1309680,1309681,2,r,2,c,2,c,4,s,13,s,pu,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1309681,1321478,2,r,2,c,2,c,4,s,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1321478,1321479,2,r,2,c,2,c,4,s,14,s,f,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1321479,1324674,2,r,2,c,2,c,4,s,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1324674,1324675,2,r,2,c,2,c,4,s,15,s,pu,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1324675,1335044,2,r,2,c,2,c,4,s,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1335044,1335045,2,r,2,c,2,c,4,s,16,s,f,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1335045,1335996,2,r,2,c,2,c,4,s,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1335996,1335997,2,r,2,c,2,c,4,s,17,s,pu,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1335997,1344768,2,r,2,c,2,c,4,s,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1344768,1344769,2,r,2,c,2,c,4,s,18,s,f,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1344769,1345958,2,r,2,c,2,c,4,s,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1345958,1355785,2,r,2,c,2,c,4,s,19,s,pu,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1355785,1383971,2,r,2,c,2,c,4,s,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1383971,1384650,2,r,2,c,2,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1384650,1384651,2,r,2,c,2,c,5,sh,20,sh,p,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1384651,1384652,2,r,2,c,2,c,5,sh,21,sh,h,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1384652,1389750,2,r,2,c,2,c,5,sh,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1389750,1389751,2,r,2,c,2,c,5,sh,,,,,,,,,,,,,1,s,1,s,pu,,,,,,,,,
